,mean_real,std_real,mean_fake,std_fake,abs_mean_diff
Bwd Packet Length Min,-0.017083361744880676,0.8816173672676086,1.1864224672317505,0.8682260513305664,1.2035058289766312
Min Packet Length,0.012442861683666706,1.2333917617797852,1.0479145050048828,0.4379432797431946,1.035471643321216
ACK Flag Count,0.018469512462615967,1.0032658576965332,-0.843481183052063,0.015001348219811916,0.861950695514679
Down/Up Ratio,0.02877992019057274,1.013286828994751,0.8020018339157104,0.02372906170785427,0.7732219137251377
Packet Length Std,-0.012607439421117306,0.9881707429885864,-0.6218035817146301,0.04213884845376015,0.6091961422935128
Max Packet Length,-0.010134300217032433,0.9896275401115417,-0.6153552532196045,0.03227787837386131,0.6052209530025721
Flow Duration,-0.033679038286209106,0.9817386269569397,-0.6332331895828247,0.1972750872373581,0.5995541512966156
Fwd IAT Total,-0.03325294330716133,0.9818786978721619,-0.6307650208473206,0.1908307522535324,0.5975120775401592
Bwd Packet Length Std,-0.013010109774768353,0.9796386361122131,-0.6029544472694397,0.014211829751729965,0.5899443374946713
Bwd Packet Length Max,-0.010339123196899891,0.9885510802268982,-0.5964646935462952,0.0257220771163702,0.5861255703493953
Packet Length Mean,-0.00884772464632988,0.9984912276268005,-0.5707976818084717,0.06347465515136719,0.5619499571621418
Idle Mean,-0.015991773456335068,0.995364785194397,-0.5724139213562012,0.19960945844650269,0.5564221478998661
Flow IAT Max,-0.019633125513792038,0.9917746186256409,-0.5730199217796326,0.20565538108348846,0.5533867962658405
Fwd IAT Std,-0.017764654010534286,0.9890373945236206,-0.5683701038360596,0.017097467556595802,0.5506054498255253
Fwd IAT Max,-0.019973833113908768,0.9922339916229248,-0.5693220496177673,0.20280443131923676,0.5493482165038586
Idle Max,-0.01810726523399353,0.9928419589996338,-0.5667575597763062,0.20924285054206848,0.5486502945423126
Fwd Packet Length Min,-0.015251475386321545,0.6607111692428589,0.5333006381988525,0.23669609427452087,0.5485521135851741
Avg Bwd Segment Size,-0.011254903860390186,0.9931567907333374,-0.5557103753089905,0.07046221196651459,0.5444554714486003
Bwd Packet Length Mean,-0.011254903860390186,0.9931567907333374,-0.5543313026428223,0.07224199920892715,0.5430763987824321
Idle Min,-0.013682958669960499,0.995966911315918,-0.5565018057823181,0.20743684470653534,0.5428188471123576
Average Packet Size,-0.00886963028460741,0.9968058466911316,-0.5415971875190735,0.08520300686359406,0.5327275572344661
Flow IAT Std,-0.025608370080590248,0.9742153882980347,-0.5331568717956543,0.4007893204689026,0.507548501715064
Packet Length Variance,-0.01426010299474001,0.9694791436195374,-0.511716902256012,0.013852317817509174,0.49745679926127195
PSH Flag Count,-0.022837188094854355,0.9821993112564087,-0.4894314110279083,0.01475644949823618,0.46659422293305397
Init_Win_bytes_forward,-0.04058927297592163,0.9303639531135559,-0.45634886622428894,0.024550486356019974,0.4157595932483673
